Inflight wifi service,Online boarding,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Flight Distance,Age,Class
1,1,0,5,1,5,491,60,1
1,2,1,4,1,5,2134,69,3
2,2,1,2,1,1,226,37,1
2,1,1,4,1,4,1852,56,3
4,4,1,2,0,5,731,42,3
5,5,1,1,0,4,650,20,3
3,2,1,5,0,2,153,20,1
3,3,1,4,1,2,1710,38,3
2,4,1,2,1,2,1874,47,1
3,3,0,4,1,4,1056,47,1
4,5,1,5,1,4,3694,60,3
0,5,0,4,1,5,748,52,1
1,1,1,1,1,1,406,45,2
3,4,0,2,1,4,1024,68,3
3,3,1,2,0,1,448,24,1
2,2,1,2,1,5,1833,45,3
2,2,0,4,1,1,277,25,1
5,5,1,5,1,5,1476,24,3
1,1,1,3,0,1,710,29,1
2,4,1,5,1,4,2565,55,3
1,1,1,1,1,4,956,11,2
3,4,0,1,1,4,447,42,1
5,4,1,5,1,4,404,51,3
5,4,0,5,1,2,868,18,1
5,5,1,5,1,3,86,57,1
3,3,0,4,1,5,1546,29,2
4,4,1,4,1,1,545,16,1
2,5,0,2,1,3,406,67,1
5,4,1,4,1,5,2710,38,3
1,5,0,2,1,3,763,47,2
2,2,0,5,1,5,409,17,1
2,2,1,3,0,4,1050,27,3
4,4,1,4,1,4,74,43,1
1,1,1,5,0,2,642,36,1
4,4,1,4,1,5,331,56,1
4,4,0,1,1,3,634,11,1
3,3,0,1,1,3,532,14,1
2,5,1,5,1,3,1531,30,3
3,3,0,5,1,1,1488,62,1
1,1,0,4,1,2,323,38,1
3,3,1,3,0,4,628,23,1
2,2,0,5,1,1,1846,56,1
2,2,1,3,0,3,429,59,1
5,4,1,4,1,4,1670,45,3
2,4,1,4,1,3,2974,49,3
3,5,1,5,1,4,1464,45,3
1,1,1,3,0,3,448,28,3
4,5,1,4,1,4,696,57,3
2,2,0,2,1,3,541,32,1
5,5,1,5,1,4,628,25,2
4,4,0,1,1,5,677,33,1
2,2,1,3,0,4,152,23,2
5,2,1,4,1,2,442,59,3
5,5,1,5,0,5,994,19,3
5,5,1,5,1,4,612,23,3
4,4,1,4,1,4,3064,46,3
5,2,1,5,1,4,954,52,1
2,4,1,2,1,1,3364,34,3
4,4,0,4,1,4,843,46,1
1,1,0,1,1,3,787,56,1
2,5,1,5,1,5,3266,58,3
4,4,1,3,0,4,214,36,3
3,3,1,3,0,5,814,37,3
4,4,1,4,1,1,583,54,1
4,4,1,4,1,2,112,35,1
2,4,1,2,1,4,2506,34,3
4,5,1,5,1,4,1635,41,3
5,5,1,1,0,2,239,18,1
1,4,0,4,1,3,404,43,3
2,2,0,2,1,3,781,28,1
4,4,0,2,1,5,270,30,1
5,4,1,4,1,5,3358,42,3
5,3,1,4,0,3,824,21,1
2,2,0,5,1,5,468,59,1
2,5,0,5,1,3,2615,8,1
2,2,1,2,1,1,191,47,1
2,2,1,4,0,2,84,39,1
4,4,0,3,1,5,427,49,2
5,5,1,3,0,3,302,48,1
0,5,1,5,1,5,3407,46,3
1,5,1,4,1,3,1506,48,3
4,2,1,5,1,2,1810,58,3
2,2,1,1,0,1,1029,22,1
4,4,1,4,1,2,86,51,1
2,2,1,5,0,3,287,27,3
5,5,1,5,1,5,715,42,1
5,4,0,2,1,5,449,46,1
3,3,0,5,1,4,1605,50,2
4,5,1,4,1,5,368,38,3
5,5,0,5,1,4,570,17,1
2,2,1,2,1,2,2650,35,3
1,1,1,1,1,3,628,27,3
1,1,1,4,0,4,928,27,1
4,4,1,3,0,3,1587,21,3
4,5,0,1,1,4,1608,57,2
5,5,0,2,1,4,1619,37,1
1,1,0,5,1,5,328,32,2
3,2,1,1,1,3,175,57,3
5,2,1,2,1,3,2657,40,3
5,5,1,4,0,3,248,21,3
4,5,1,4,1,3,806,57,3
4,4,1,3,0,5,1276,44,3
3,4,0,4,1,4,825,59,1
3,4,1,5,1,5,1749,52,3
3,3,1,3,1,1,102,22,1
2,5,1,4,1,3,2243,40,3
5,4,1,4,1,1,1035,60,1
5,4,1,4,1,4,2358,59,3
3,3,0,1,1,5,1475,45,1
3,3,0,3,1,4,896,28,1
2,5,0,1,1,4,451,66,1
3,3,0,1,1,1,1013,17,1
4,5,0,4,1,2,2504,40,1
2,2,1,4,0,3,1210,11,1
3,2,0,3,1,2,1721,69,3
2,2,0,4,1,4,404,61,2
2,2,1,4,0,4,259,64,3
3,2,1,3,0,1,101,44,1
3,2,1,3,1,2,3103,43,3
2,1,1,2,0,5,1266,23,1
4,5,0,4,1,3,297,51,1
4,5,1,5,1,3,377,49,3
5,5,1,5,1,3,1086,48,1
2,2,0,3,1,4,227,24,1
3,5,1,5,1,4,1846,26,3
1,1,0,3,1,5,692,30,1
3,5,0,2,1,4,541,59,1
3,3,0,1,1,3,247,12,2
1,1,1,1,1,2,2109,22,3
2,2,1,2,1,2,783,39,2
2,5,1,4,1,4,337,60,3
3,4,1,3,1,4,762,42,1
3,1,1,1,0,1,319,38,1
4,5,0,4,1,2,1204,46,1
3,3,0,1,1,1,281,68,1
4,4,0,3,1,3,972,67,1
0,4,1,1,1,3,235,50,3
4,4,1,4,1,4,752,28,3
3,3,0,2,1,4,290,35,1
5,3,1,5,1,5,1726,49,3
3,5,1,4,1,5,2739,57,3
5,5,1,4,1,3,646,57,3
2,5,1,3,1,3,370,35,3
3,4,1,2,1,5,2486,44,3
2,2,1,1,1,5,558,33,3
1,5,1,5,1,4,458,44,3
3,3,1,4,1,3,229,45,2
4,2,0,4,1,3,646,51,2
5,4,1,4,1,3,3965,28,3
3,3,0,1,1,1,409,60,1
0,5,0,2,1,3,391,54,1
2,2,0,5,1,2,526,68,1
4,4,0,5,1,3,761,58,1
3,3,1,5,0,4,1096,37,3
3,3,0,5,1,3,1947,20,1
5,5,1,5,1,5,2354,58,3
5,5,1,5,1,4,1947,22,1
5,5,1,5,1,4,1069,37,2
3,3,1,3,1,1,2896,30,3
2,2,1,5,0,3,308,32,3
4,4,1,4,1,5,2883,30,3
5,4,1,3,0,5,423,25,3
2,5,1,5,1,3,1696,54,3
5,3,0,5,1,1,425,49,1
2,2,0,2,1,3,1055,39,1
2,2,1,1,0,4,414,38,3
3,5,1,4,1,4,337,40,3
4,4,1,3,1,4,3073,52,3
3,4,1,2,1,2,202,64,3
4,4,0,1,1,4,1201,63,1
3,5,1,4,1,4,3044,42,3
1,1,0,4,1,4,909,29,1
2,2,0,2,1,2,429,25,1
2,4,0,1,1,3,726,54,1
3,3,0,4,1,3,646,38,1
5,5,1,1,0,3,325,24,3
4,4,0,4,1,4,257,21,1
5,5,1,4,1,5,954,41,1
5,5,1,2,0,5,882,22,3
3,5,1,5,1,3,404,35,3
3,5,1,3,1,4,3397,59,3
1,4,0,4,1,4,1744,28,1
5,2,1,3,1,1,522,47,3
1,1,0,1,1,5,362,11,1
5,4,1,4,1,4,1593,52,3
3,3,0,1,1,4,507,34,1
5,4,1,5,1,4,2704,35,3
5,4,1,5,1,5,719,56,3
1,1,1,1,0,3,1865,39,3
2,2,1,1,0,2,474,43,1
1,5,1,4,1,4,2724,40,3
2,5,1,3,1,5,1574,40,3
1,4,1,1,1,2,507,52,3
3,5,1,3,1,5,925,42,3
2,3,0,4,1,5,763,27,1
3,3,1,2,0,3,408,20,1
5,4,1,4,1,3,1590,46,3
4,4,0,2,1,4,1242,50,1
1,5,1,2,1,5,882,39,3
3,2,1,4,1,1,3954,40,3
5,2,0,3,1,1,370,58,1
2,2,0,3,1,3,160,8,3
2,5,1,4,1,3,270,54,3
1,3,1,1,1,2,3875,39,3
4,4,1,4,1,3,3659,22,3
1,1,1,2,0,1,1797,44,1
1,1,1,1,0,3,1744,62,3
1,2,1,1,0,3,1065,10,1
4,4,1,4,1,5,3845,30,3
4,2,1,4,1,3,150,61,2
3,5,0,4,1,3,541,64,1
4,4,1,4,1,4,425,44,3
3,3,0,1,0,3,845,56,1
3,5,1,5,1,4,3356,24,3
3,3,0,5,1,3,1670,60,1
2,3,0,2,1,2,594,51,1
2,5,1,5,1,3,2054,53,3
3,3,1,4,0,5,1237,27,2
1,4,1,1,1,3,3313,39,3
2,3,1,2,1,3,550,59,3
2,2,1,1,0,2,999,11,1
5,5,1,5,1,5,802,36,1
3,3,1,2,0,5,296,38,1
3,3,0,1,1,5,1020,19,2
4,5,0,4,1,4,2176,13,1
1,1,1,1,1,3,226,19,3
2,5,1,4,1,5,328,41,3
3,3,1,3,0,3,421,24,1
4,4,0,5,1,1,224,65,1
3,3,1,4,0,1,375,54,1
4,4,1,4,0,2,1303,26,2
2,2,0,1,1,5,1310,29,1
2,2,1,2,0,2,1219,18,1
1,1,1,4,1,2,781,34,3
0,0,1,3,1,4,413,22,2
3,5,1,4,1,3,2610,50,3
1,1,1,3,0,1,234,50,3
1,5,1,5,1,1,1617,24,3
1,3,0,4,1,4,563,55,1
2,2,0,2,1,5,399,48,1
5,5,1,5,1,5,3354,49,3
4,4,1,4,1,4,205,43,3
2,2,0,1,1,3,544,22,1
3,3,1,1,0,5,1498,14,1
5,2,1,4,1,4,954,38,3
4,5,1,4,1,4,1671,48,3
2,5,1,5,1,2,3488,32,3
2,2,1,5,0,2,583,20,1
2,2,0,1,1,3,836,64,1
2,3,1,2,1,1,468,43,3
5,5,1,5,1,5,329,61,1
4,4,1,4,1,4,2586,30,3
3,3,0,4,1,5,101,13,1
5,5,1,5,1,4,532,51,1
1,4,1,1,1,3,488,55,1
3,4,1,5,1,4,2059,44,3
5,5,1,5,1,3,239,36,1
2,2,1,2,1,3,1554,39,3
1,4,1,4,1,4,3195,52,3
2,2,0,3,1,4,1342,15,1
2,2,1,1,0,3,853,29,3
4,4,0,5,1,2,821,32,3
2,5,1,4,1,3,725,58,3
1,2,1,1,1,3,1020,28,1
3,4,0,1,1,4,588,53,1
4,4,1,4,1,1,397,22,3
1,2,1,1,1,2,1846,42,3
3,3,0,4,1,5,1258,7,1
4,5,1,5,1,5,867,43,3
3,5,1,4,1,4,2526,49,3
1,4,1,4,1,5,547,33,3
2,2,1,1,0,4,641,30,3
1,0,1,2,0,5,789,26,1
1,1,1,5,0,2,413,40,1
3,3,0,5,1,1,209,11,2
3,4,1,4,1,5,429,36,3
2,2,1,2,1,4,733,30,2
2,4,1,5,1,4,3339,42,3
3,3,1,2,0,3,1249,55,1
5,5,1,1,0,5,1214,41,3
3,3,0,4,1,2,366,56,1
2,2,1,2,1,1,1190,41,1
2,2,0,2,1,3,1598,11,1
4,5,0,5,1,3,89,52,1
5,5,1,4,1,4,2753,50,3
5,2,1,5,1,5,692,59,1
5,5,1,5,1,5,109,44,1
3,4,1,5,1,5,2736,46,3
3,4,1,5,0,4,1108,21,1
2,2,1,4,0,4,597,56,1
2,4,1,4,1,4,507,47,3
3,2,1,3,1,4,2367,33,3
2,5,1,4,1,5,2956,49,3
2,5,0,1,1,4,581,63,1
1,3,0,3,1,1,223,60,2
1,1,1,1,1,4,224,66,1
2,2,0,5,1,5,628,57,1
1,1,1,1,1,2,667,45,1
4,4,0,1,1,3,561,16,1
2,4,1,3,1,4,1532,53,3
0,0,1,1,0,4,1404,25,3
2,2,1,4,0,3,576,19,1
3,5,1,4,1,5,483,57,3
2,4,1,4,1,3,695,24,3
2,5,1,4,1,4,3629,58,3
3,5,1,5,1,2,3917,23,3
4,3,0,4,1,3,125,57,1
1,2,0,1,1,5,1635,40,1
4,4,1,4,1,3,683,55,3
2,4,1,5,1,5,936,39,3
2,2,0,2,1,3,472,30,2
1,1,0,3,1,5,639,53,1
1,1,0,3,1,5,308,15,2
2,2,1,2,0,3,1849,20,1
2,2,1,2,1,2,1065,36,1
4,4,0,5,1,4,576,48,1
2,2,0,1,1,4,689,50,1
2,2,1,2,1,1,409,33,3
2,2,1,5,0,4,265,37,1
0,0,1,1,1,1,1092,32,1
1,1,1,2,0,4,948,24,1
2,5,1,5,1,3,3984,27,3
0,4,1,5,1,4,1899,40,3
2,2,0,3,1,3,362,36,1
2,2,0,3,1,4,543,11,1
2,2,0,4,1,1,1009,58,1
3,3,0,5,1,3,2075,15,2
3,3,0,3,1,1,846,32,3
1,5,1,4,1,3,3914,45,3
4,3,1,3,1,4,1620,28,3
3,5,1,5,1,5,3755,39,3
2,2,1,2,0,4,189,29,3
1,4,1,5,1,3,3240,33,3
5,4,0,2,1,5,674,47,1
2,2,1,4,0,5,229,27,3
1,1,1,2,0,1,1046,50,2
3,4,1,4,1,5,1947,54,3
2,2,0,3,1,1,1020,68,1
4,4,1,4,1,3,221,22,1
2,2,0,2,1,4,312,11,1
2,2,0,3,1,2,1069,51,1
2,5,1,4,1,3,3828,42,3
1,3,1,5,1,2,3433,50,3
3,3,1,3,1,4,216,35,2
3,3,0,5,1,4,697,45,1
2,5,1,5,1,5,2235,55,3
4,4,1,4,1,4,457,51,3
1,3,1,1,1,3,602,42,1
1,4,1,3,1,4,967,47,3
1,1,1,1,1,3,3012,23,3
4,4,0,2,1,5,639,52,1
1,1,0,4,1,3,782,19,1
4,2,0,2,1,3,319,54,1
1,4,1,4,1,4,3326,12,3
0,4,1,4,1,5,1866,54,3
2,2,0,1,1,4,651,68,2
1,1,0,4,1,1,562,46,1
3,3,1,3,0,2,153,27,1
4,3,0,4,1,3,416,29,1
3,3,0,2,1,1,1546,60,1
4,4,1,4,1,3,1547,56,3
2,3,1,2,1,3,3720,30,3
4,3,1,4,1,4,1521,44,3
5,5,1,5,1,4,3850,61,3
5,4,1,4,1,4,2681,37,3
1,1,0,4,1,3,395,35,1
3,5,0,2,1,3,408,33,2
4,5,0,3,1,3,2475,11,1
2,3,1,3,1,5,1546,31,3
3,4,1,4,1,4,2807,12,3
4,5,1,4,1,3,651,58,3
4,4,1,4,1,5,404,51,3
2,2,1,5,0,3,121,21,1
2,2,0,1,1,4,1844,51,2
2,5,0,1,1,4,404,60,2
5,4,1,5,1,2,954,23,1
2,4,0,5,1,3,1304,47,1
1,5,1,4,1,5,2370,54,3
4,4,1,3,0,5,1590,29,3
3,3,0,4,1,3,1670,67,1
2,5,1,5,1,5,2677,27,3
1,1,1,1,1,1,957,44,1
5,5,1,5,1,5,1874,47,2
4,4,1,1,1,4,503,32,2
3,3,1,4,0,3,580,25,1
3,3,1,3,1,3,507,41,3
5,4,1,4,1,4,3345,52,3
3,3,0,5,1,4,287,67,1
3,3,0,1,1,2,547,44,1
1,4,0,4,1,3,198,42,1
1,4,0,2,1,5,641,50,1
2,5,1,4,1,4,2096,53,3
4,4,1,3,1,3,3938,50,3
1,1,0,3,1,3,522,28,1
3,3,1,5,1,5,1788,44,3
5,5,1,3,1,5,3845,50,3
2,2,1,3,0,5,1389,29,3
4,3,0,4,1,3,594,44,3
3,4,1,3,1,3,296,45,1
2,5,1,4,1,3,2374,45,3
1,4,1,5,1,3,1581,56,3
5,4,1,5,0,4,1521,25,3
2,5,1,4,1,3,2480,56,3
4,4,1,4,1,3,2263,51,3
1,1,0,5,1,2,868,70,1
3,3,1,2,0,4,679,30,1
2,2,0,3,1,5,861,34,1
2,2,0,3,1,4,888,70,2
1,4,1,5,1,3,3247,52,3
3,3,1,3,0,1,712,27,1
2,4,1,3,1,3,1452,21,3
5,5,0,4,1,5,351,29,2
4,4,1,4,0,4,140,39,3
1,5,1,4,1,3,3720,50,3
4,4,1,3,0,3,1121,38,3
3,3,1,3,1,3,101,37,1
3,3,0,3,1,4,1475,51,1
3,3,0,3,1,3,946,18,1
3,3,1,4,1,2,1744,45,1
3,3,0,5,1,3,483,33,1
1,4,1,4,1,2,3269,51,3
4,4,1,4,1,5,383,37,2
3,4,1,3,1,4,3341,36,3
4,2,0,1,1,2,236,42,1
2,5,1,5,1,4,447,56,3
2,4,1,4,1,4,2486,57,3
5,2,0,4,1,3,1605,54,1
5,5,1,3,0,3,259,27,3
3,3,1,5,0,3,896,27,1
3,3,0,2,1,3,1590,23,1
1,1,1,1,1,1,253,68,1
2,2,0,4,1,4,432,59,1
4,4,1,4,1,3,86,31,2
0,0,1,3,0,3,1522,29,3
5,5,1,4,1,3,2573,51,3
3,3,1,2,0,4,1501,29,1
3,3,1,2,0,3,995,44,1
1,5,1,4,1,3,2047,41,3
2,2,1,2,0,4,1204,24,1
2,4,1,5,1,4,507,55,3
2,4,0,5,1,4,432,57,2
2,2,0,4,1,3,833,28,1
4,4,0,5,1,3,911,20,3
2,5,1,4,1,4,2562,41,3
4,4,1,4,1,2,618,29,2
2,4,1,5,1,1,170,34,3
3,2,1,3,0,3,1249,36,1
1,4,1,3,1,4,2655,56,3
2,4,1,4,1,5,2561,40,3
3,4,1,3,1,2,3131,34,3
2,4,1,5,1,3,2951,44,3
2,3,1,3,0,2,735,25,3
4,4,1,4,0,4,190,22,1
1,1,1,1,0,5,944,22,1
2,2,1,2,0,1,282,44,3
5,5,1,5,1,1,399,44,1
1,2,0,1,1,2,2611,40,1
1,1,0,2,1,1,436,13,2
1,4,1,4,1,5,677,31,3
4,3,0,1,1,5,516,59,1
4,5,0,3,1,3,1050,60,1
3,3,1,3,1,2,334,52,1
5,4,1,4,1,4,630,40,3
1,1,1,1,1,4,239,71,1
2,5,1,4,1,4,1488,48,3
3,3,1,3,1,4,451,46,1
4,4,1,4,0,5,551,34,3
3,3,1,5,0,3,308,28,3
4,4,1,3,1,2,581,65,1
4,5,1,5,1,5,204,51,3
2,2,1,2,1,2,262,46,1
2,3,1,2,1,1,3380,59,3
5,5,1,5,1,4,3776,45,3
3,3,1,3,1,4,192,38,1
4,4,0,1,1,3,1096,18,1
1,1,1,3,0,3,1214,27,1
3,5,1,5,1,2,341,31,1
2,2,0,4,1,4,1303,21,1
2,4,1,5,1,5,1532,46,3
2,3,0,2,1,3,255,45,1
1,4,0,5,1,4,1144,49,1
3,3,0,3,1,2,429,36,1
1,1,0,5,1,4,867,56,2
5,1,1,4,1,5,2429,34,3
2,2,0,3,1,4,584,35,1
1,5,0,1,1,3,396,66,3
1,1,0,3,1,4,475,30,1
3,3,1,3,1,3,604,35,1
4,4,1,2,1,4,3965,41,3
5,4,1,4,1,3,417,45,3
1,1,0,2,1,2,137,47,1
1,1,1,3,0,3,1069,24,1
3,3,0,5,1,3,1744,31,2
5,5,1,5,1,3,3771,44,3
3,5,1,5,1,5,600,59,3
1,1,0,2,1,1,1384,20,1
3,3,1,3,0,4,2342,22,1
2,1,1,2,1,4,191,47,3
2,2,1,5,0,5,912,27,1
3,3,0,3,1,2,1670,19,3
3,3,0,1,1,1,748,55,1
3,3,1,3,1,4,524,53,1
5,5,1,5,1,4,312,28,3
1,3,1,5,1,2,3550,33,3
5,5,1,5,1,3,2565,56,3
2,2,1,2,0,3,334,37,3
2,5,1,5,1,3,2125,57,3
4,4,1,4,1,3,337,53,1
2,5,1,5,1,4,1086,42,3
2,2,1,4,0,3,770,20,1
3,2,1,4,0,4,316,32,3
2,2,1,2,0,4,761,42,3
1,1,0,5,1,1,397,45,1
4,4,0,4,1,1,2350,47,1
3,4,1,3,1,1,3391,37,3
1,4,1,5,1,3,3777,47,3
1,1,1,1,0,1,419,65,3
2,2,1,2,1,3,696,26,1
3,3,1,3,0,5,946,13,1
3,4,1,5,1,4,226,47,3
4,5,1,3,1,4,833,42,3
3,3,1,3,1,2,2548,31,3
2,2,0,2,1,3,787,40,2
1,4,1,1,1,1,646,65,1
1,1,1,1,1,4,241,40,1
3,3,0,4,1,3,158,41,1
4,5,1,4,1,3,3565,45,3
2,2,0,1,1,2,2176,24,1
1,5,1,5,1,5,1846,30,3
1,4,0,2,1,3,226,70,3
1,5,1,4,1,5,3636,41,3
1,1,0,3,1,3,442,35,1
3,2,1,1,0,1,255,37,1
4,5,0,1,1,5,2475,43,1
2,2,0,1,1,5,697,10,1
2,0,0,4,1,5,228,23,1
2,3,1,2,1,1,2378,61,3
1,2,1,1,1,2,481,30,3
4,4,1,5,0,3,372,58,3
3,3,0,1,1,5,377,14,1
3,4,1,4,1,2,3196,51,3
2,4,1,2,1,4,836,42,3
4,4,0,1,1,3,304,47,3
1,1,1,1,1,2,2278,32,3
3,3,1,1,0,4,373,25,1
3,5,1,4,1,4,1679,39,3
2,2,0,5,1,1,421,46,1
3,4,1,4,1,3,356,32,3
5,5,1,5,1,5,649,56,2
2,1,1,2,1,2,2173,50,3
5,1,1,5,1,5,588,47,1
5,5,0,3,1,5,1258,51,1
5,5,1,5,1,4,2473,58,3
1,2,1,1,1,2,2249,39,3
2,2,1,4,0,2,1135,26,1
1,1,1,2,1,1,151,31,1
1,1,1,1,0,1,529,36,1
0,5,0,2,1,2,1411,44,1
3,3,0,2,1,5,1947,57,1
3,3,1,3,1,4,3498,32,3
5,4,1,4,1,4,545,58,3
4,5,1,5,1,3,370,25,3
3,3,1,5,0,5,250,38,3
3,4,1,4,1,2,2194,36,3
5,5,1,5,1,5,180,38,2
3,2,0,1,1,4,1199,24,1
2,5,1,3,1,4,1666,43,3
5,4,1,5,1,5,1014,46,3
3,3,0,5,1,4,683,14,1
4,2,1,4,1,2,3365,58,3
5,5,1,4,1,4,1355,51,3
2,2,0,4,1,2,908,59,1
3,4,1,3,1,4,3239,30,3
3,3,1,2,0,4,710,42,3
4,4,0,1,1,3,1102,15,2
3,5,0,4,1,5,1352,55,1
3,3,1,3,1,2,1951,58,3
5,3,1,4,1,4,304,58,3
2,3,1,5,0,4,317,40,2
5,5,0,4,1,5,581,7,2
1,5,1,4,1,3,3575,57,3
3,4,0,2,1,5,406,65,1
5,5,1,5,1,5,728,42,1
3,3,1,4,0,2,843,21,1
3,3,1,3,1,3,3200,32,3
2,3,0,2,1,4,429,45,1
3,3,1,4,0,2,237,16,1
3,3,1,3,1,3,2978,9,3
1,4,1,3,0,4,404,77,3
2,2,1,2,0,1,192,27,1
3,3,1,2,0,3,353,26,1
5,5,1,2,1,4,484,44,3
4,1,1,2,0,1,2611,11,3
2,2,1,1,0,1,647,20,1
2,2,0,4,1,1,867,44,1
4,4,1,4,1,4,956,32,2
2,2,1,2,1,1,255,36,1
